station_name,station_latitude,station_longitude,station_zip
St Ann's Ave & Westchester Ave,40.815887,-73.911918,10455
E 81 St & York Ave,40.7728384,-73.94989233,10075
Pierrepont St & Monroe Pl,40.69535693320225,-73.99344027042389,11201
Warren St & W Broadway,40.71473993,-74.00910627,10007
34 St & 35 Ave,40.756933200000006,-73.92622309999999,11106
Riverside Dr & W 148 St,40.829114000000004,-73.95042600000001,10031
Sip Ave,40.73089709786179,-74.06391263008119,07306
Union Ave & N 12 St,40.71924,-73.95241999999999,11211
Court St & State St,40.6902375,-73.99203074,11201
St. Nicholas Ave & W 155 St,40.830663,-73.941323,10040
St. Ann's Av & Bruckner Blvd,40.803399,-73.919763,10454
E 153 St & E 157 St,40.826677000000004,-73.929327,10451
Park Pl & Franklin Ave,40.67418060000001,-73.95649470000001,11216
Broadway & Roebling St,40.70924826276157,-73.96063148975372,11207
S 4 St & Wythe Ave,40.71285887,-73.96590294,11211
St Johns Pl & Washington Ave,40.6737236,-73.9631611,11238
Willoughby Ave & Hall St,40.69196035,-73.96536851,11205
9 Ave & W 28 St,40.74937024193277,-73.99923384189607,10001
Irving Ave & DeKalb Ave,40.7027,-73.92095,11237
36 Ave & 31 St,40.75651272984955,-73.92957486212252,11106
E 165 St & Fox St,40.82394,-73.894025,10459
West End Ave & W 78 St,40.783786,-73.981687,10024
S 4 St & Rodney St,40.709340000000005,-73.95608,11211
Howard St & Centre St,40.71910537,-73.99973337,10013
W 22 St & 8 Ave,40.74475148,-73.99915362,10011
Coffey St & Conover St,40.677236,-74.015665,11231
1 Ave & E 78 St,40.77140426,-73.9535166,10075
E 78 St & 2 Ave,40.7727966,-73.95577801,10075
Morgan Ave & Lombardy St,40.72226,-73.93889,11222
Menahan St & Onderdonk Ave,40.705529999999996,-73.9096,11385
Barry St & Tiffany St,40.816126000000004,-73.891559,10474
Water - Whitehall Plaza,40.70255065,-74.0127234,10004
E 85 St & 3 Ave,40.77801203,-73.95407149,10028
E 160 St & Tinton Ave,40.820302000000005,-73.903944,10456
Broadway & W 51 St,40.76228826,-73.98336183,10107
Washington Park,40.6917823,-73.97372990000001,11205
Madison Ave & E 82 St,40.7781314,-73.96069399,10028
Alexander Ave & E 134 St,40.807466,-73.92710699999999,10454
Park Pl & Church St,40.71334184275907,-74.00935515761375,10014
E 4 St & 2 Ave,40.726280700000004,-73.98978041,10009
John St & William St,40.70862144,-74.00722156,10038
31 St & Astoria Blvd,40.76991760000001,-73.91840570000001,11102
19 St & 24 Ave,40.777455200000006,-73.9225403,11102
Nelson Ave & W 172 St,40.843965000000004,-73.920999,10452
Manhattan Av & Leonard St,40.72084,-73.94844,11222
Washington St,40.7242941,-74.0354826,07302
Lexington Ave & E 26 St,40.741459000000006,-73.983293,10037
E 53 St & Madison Ave,40.75971079999999,-73.97402311,10055
Vernon Blvd & 50 Ave,40.74232744,-73.95411749,11109
President St & Henry St,40.6828003,-73.99990419,11231
Southern Blvd & E 172 St,40.834123999999996,-73.88955,10460
Crotona Park East & E 173 St,40.837037,-73.890413,10460
11 Ave & W 41 St,40.76030096,-73.99884222,10018
Harrison St & Hudson St,40.71870987,-74.0090009,10013
Avenue D & E 8 St,40.72387,-73.975767,10009
Stanhope St & Fairview Ave,40.70998,-73.91116,11237
Morris Ave & E 171 St,40.83899,-73.9109,10457
Center Blvd & 48 Ave,40.745038,-73.957539,11109
Lexington Ave & E 128 St,40.806414000000004,-73.93608499999999,10035
E 170 St & Clay Ave,40.837213,-73.908345,10456
Columbia Heights & Cranberry St,40.70037867,-73.99548059,11201-1832
Grand Concourse & East Mount Eden Ave,40.84301,-73.91171999999999,10453
Broadway & W 25 St,40.74286877312112,-73.98918628692627,10010
Vernon Blvd & 30 Rd,40.770845,-73.93417099999999,11102
George St & Wilson Ave,40.702996999999996,-73.92997,11237
E 165 St & Jerome Ave,40.83263,-73.925101,10456
E 170 St & Webster Ave,40.83617913677475,-73.90730146322765,10456
Central Park W & W 97 St,40.79249519495111,-73.9641706646307,10025
E 84 St & Park Ave,40.77862688,-73.95772073,10028
St. Ann's Ave & E 144 St,40.811112,-73.914932,10454
Courtlandt Ave & E 157 St,40.822267,-73.916792,10451
Engert Ave & McGuinness Blvd,40.721579999999996,-73.94546,11222
W 59 St & 10 Ave,40.770513,-73.988038,100
Lenox Ave & W 117 St,40.8025566,-73.9490782,10026
Maiden Ln & Pearl St,40.70706456,-74.00731853,10038
30 Ave & 21 St,40.77037429999999,-73.9286078,11102
North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,10013
W 51 St & Rockefeller Plaza,40.75969995906254,-73.9780819416046,10111
E 138 St & Grand Concourse,40.813224,-73.930605,10454
Amsterdam Ave & W 180 St,40.847396,-73.931205,10040
1 Ave & E 44 St,40.75001986,-73.96905301,10017-6927
Clinton St & Union St,40.683116399999996,-73.99785267,11231
Morris Ave & E 153 St,40.820036,-73.92141099999999,10451
E 6 St & Avenue D,40.72228087,-73.97668709,10009:10010
Avenue C & E 18 St,40.730563000000004,-73.973984,10009
Prospect Ave & E 151 St,40.814232000000004,-73.903927,10455
Central Park S & 6 Ave,40.76590936,-73.97634151,10107
9 St & 44 Rd,40.74966,-73.9521,11109
Graham Ave & Herbert St,40.71929301,-73.94500379,11211
Frederick Douglass Blvd & W 115 St,40.8038654,-73.95593079999999,10026
Greene Av & Myrtle Av,40.698568,-73.918877,11237
Grand Concourse & E 166 St,40.831959999999995,-73.91956,10456
Pike St & E Broadway,40.71406667,-73.99293911,10002
W 163 St & Edgecombe Ave,40.835798,-73.937496,10032
Onderdonk Ave & Gates Ave,40.70413,-73.90737,11385
7 Ave & Park Pl,40.67761470000001,-73.97324283,11217
Ogden Ave & W 165 St,40.834457,-73.928381,10452
E 19 St & 3 Ave,40.73624527,-73.98473765,10003
E 81 St & 2 Ave,40.77477944895728,-73.95427465438844,10028
W 145 St & Amsterdam Ave,40.825244,-73.947257,10040
9 Ave & W 18 St,40.74317449,-74.00366443,100014
Central Ave & Himrod St,40.69676,-73.92302,11221
